id,source_id,target_id,type,description,weight
"2af8d059-7bad-49af-9e61-bd7eeb0e329a","30cd00ab-7e08-4788-a839-4fbc3fd93a77","928afc21-8f0b-4ab5-b887-aec29ed8ec6a","documents","文档 Office_Prompt_Library_Design.md 描述了 ASU Custom Agent",1.0
"3f41d89d-c740-4074-904a-11ca94424573","30cd00ab-7e08-4788-a839-4fbc3fd93a77","a7044135-6ccf-4e0d-b4a9-58447d660b67","documents","文档 Office_Prompt_Library_Design.md 描述了 Persona System",1.0
"db8ec09a-fcdf-46f8-9f18-f008bf3fcdfc","30cd00ab-7e08-4788-a839-4fbc3fd93a77","1296d8fb-b2f3-4208-92a0-6776d3afe1a0","documents","文档 Office_Prompt_Library_Design.md 描述了 default.md",1.0
"aa3cd5cb-2c91-4588-b33d-6fadf75a6824","30cd00ab-7e08-4788-a839-4fbc3fd93a77","f58e3065-70cf-44dd-8b98-70ad512c35e0","documents","文档 Office_Prompt_Library_Design.md 描述了 code.md",1.0
"cbe51175-6194-447c-94b8-23abcc2e98ce","30cd00ab-7e08-4788-a839-4fbc3fd93a77","4cce5e9d-abfc-474d-9962-b8427beaed5f","documents","文档 Office_Prompt_Library_Design.md 描述了 translate.md",1.0
"ae592af2-ef04-40c4-8ba5-fbda9d1031e1","30cd00ab-7e08-4788-a839-4fbc3fd93a77","d3bbbe0f-76c9-4d63-94fd-ad5322ea9865","documents","文档 Office_Prompt_Library_Design.md 描述了 polish.md",1.0
"bc5c6866-4401-413b-a74e-31c71b4854c5","30cd00ab-7e08-4788-a839-4fbc3fd93a77","1f96e2a9-6d89-4ad9-be5a-3d56e1cbc768","documents","文档 Office_Prompt_Library_Design.md 描述了 custom.md",1.0
"11dcc685-c111-4ee9-92d4-d1dc04b01a1a","30cd00ab-7e08-4788-a839-4fbc3fd93a77","157c1ef6-d00f-4086-ae0d-420cfb299951","documents","文档 Office_Prompt_Library_Design.md 描述了 revision.md",1.0
"a637d8e0-1feb-459b-9ba7-276802d5e026","b02dd5bf-fbfc-4e24-a5b8-12fff76b44c9","7628b6ca-a17b-40f3-915d-bbcdfb0ae558","documents","文档 Office_UI_User_Guide.md 描述了 SSE",1.0
"67717074-3c69-4da2-8674-c80b43511e52","5f72b02b-e94d-420d-a176-d56a470395f3","c35c1063-ca5c-41aa-a522-5626b94408fc","documents","文档 Smart_Copilot_API_Guide.md 描述了 Smart Copilot Platform",1.0
"ab7e7a8f-791e-4896-90d3-aa103b6844df","5f72b02b-e94d-420d-a176-d56a470395f3","f56665a9-8fda-4593-8ad8-fee1705fc488","documents","文档 Smart_Copilot_API_Guide.md 描述了 /api/execute",1.0
"79a1e6ad-b966-42f9-aca7-29761f12aae6","5f72b02b-e94d-420d-a176-d56a470395f3","4d78952a-648b-49a5-8a56-7a94c06f86ef","documents","文档 Smart_Copilot_API_Guide.md 描述了 /health",1.0
"e6b32142-1045-4617-b749-dab979c3a30e","5f72b02b-e94d-420d-a176-d56a470395f3","bb4cc373-e902-4031-99c2-82d4993805b3","documents","文档 Smart_Copilot_API_Guide.md 描述了 /api/context/current",1.0
"c56a7666-7b16-4024-ae41-4bac1805d310","5f72b02b-e94d-420d-a176-d56a470395f3","cf8704e5-77a7-4ef2-84db-089cc9ad6b17","documents","文档 Smart_Copilot_API_Guide.md 描述了 /api/context/inject",1.0
"ddae99e6-43ae-4be2-8793-7f713780dd46","5f72b02b-e94d-420d-a176-d56a470395f3","e595f73f-6e93-4845-b489-4a1e775c21d8","documents","文档 Smart_Copilot_API_Guide.md 描述了 /api/context/history",1.0
"b5d8360e-56ae-4822-bbb7-214eda02f858","5f72b02b-e94d-420d-a176-d56a470395f3","206b8271-e371-4eb8-9199-906942b894dc","documents","文档 Smart_Copilot_API_Guide.md 描述了 /api/execute/stream",1.0
