id,name,type,description,source_documents
"30cd00ab-7e08-4788-a839-4fbc3fd93a77","Office_Prompt_Library_Design.md","document","办公场景文档: OpenCopilot 办公场景 Prompt 库设计与工具调用能力完善方案","Office_Prompt_Library_Design.md|Project_Documentation_Overview.md"
"928afc21-8f0b-4ab5-b887-aec29ed8ec6a","ASU Custom Agent","component","智能体核心代码","Office_Prompt_Library_Design.md|Test_Results_Report.md|USER_GUIDE.md|OpenCopilot_Custom_Agent_Guide.md|OpenCopilot_Development_TODO.md|OpenCopilot_Code_Review_Report.md|Office_UI_Iteration_Plan.md|Test_Capability_Report.md|README.md|Testing_Tools_Guide.md|Project_Documentation_Overview.md|OpenCopilot_Daemon_Deployment_Plan.md|OpenCopilot_Local_Agent_Roadmap.md|AI_Coding_Assistants_Comparison.md|System_Running_Guide.md|docs/PPT_CoCreation_Design.md|test_docs/tech_spec.md|test_docs/TEST_REPORT.md"
"a7044135-6ccf-4e0d-b4a9-58447d660b67","Persona System","component","角色人设系统","Office_Prompt_Library_Design.md|USER_GUIDE.md|OpenCopilot_Custom_Agent_Guide.md|OpenCopilot_Development_TODO.md|README.md|OpenCopilot_Next_Gen_Roadmap.md|Project_Documentation_Overview.md|Office_UI_Optimization_Suggestions.md|Scoring_Workflow_Example.md|Office_Assistant_Comparison.md|OpenCopilot_Local_Agent_Roadmap.md|System_Running_Guide.md|test_docs/TEST_REPORT.md"
"1296d8fb-b2f3-4208-92a0-6776d3afe1a0","default.md","config","Markdown文档: default.md","Office_Prompt_Library_Design.md"
"f58e3065-70cf-44dd-8b98-70ad512c35e0","code.md","config","Markdown文档: code.md","Office_Prompt_Library_Design.md"
"4cce5e9d-abfc-474d-9962-b8427beaed5f","translate.md","config","Markdown文档: translate.md","Office_Prompt_Library_Design.md"
"d3bbbe0f-76c9-4d63-94fd-ad5322ea9865","polish.md","config","Markdown文档: polish.md","Office_Prompt_Library_Design.md"
"1f96e2a9-6d89-4ad9-be5a-3d56e1cbc768","custom.md","config","Markdown文档: custom.md","Office_Prompt_Library_Design.md"
"157c1ef6-d00f-4086-ae0d-420cfb299951","revision.md","config","Markdown文档: revision.md","Office_Prompt_Library_Design.md"
"b02dd5bf-fbfc-4e24-a5b8-12fff76b44c9","Office_UI_User_Guide.md","document","办公场景文档: OpenCopilot 办公场景 UI 使用指南","Office_UI_User_Guide.md|Project_Documentation_Overview.md"
"7628b6ca-a17b-40f3-915d-bbcdfb0ae558","SSE","feature","Server-Sent Events","Office_UI_User_Guide.md|Smart_Copilot_API_Guide.md|OpenCopilot_Custom_Agent_Guide.md|Phase3_Testing_Guide.md|OpenCopilot_Development_TODO.md|OpenCopilot_Code_Review_Report.md|Office_UI_Iteration_Plan.md|Test_Running_Guide.md|PPT_CoCreation_Improvement_Plan.md|Phase2_Testing_Guide.md|Test_Capability_Report.md|Testing_Tools_Guide.md|PPT_CoCreation_Improvement_Master_Plan.md|Project_Documentation_Overview.md|Phase1_Testing_Guide.md|Smart_Copilot_API_Redesign.md|Phase4_Testing_Guide.md|OpenCopilot_Local_Agent_Roadmap.md|PPT_CoCreation_UI_Improvement_Detailed.md|PPT_CoCreation_API_Design.md|docs/PPT_CoCreation_Design.md|venv/lib/python3.14/site-packages/fastapi/.agents/skills/fastapi/SKILL.md|venv/lib/python3.14/site-packages/fastapi/.agents/skills/fastapi/references/dependencies.md|venv/lib/python3.14/site-packages/fastapi/.agents/skills/fastapi/references/streaming.md"
"490f7d45-aae7-48f6-8273-38219b87be62","Test_Results_Report.md","document","测试文档文档: OpenCopilot 项目测试结果报告","Test_Results_Report.md|Template_Quality_Summary.md"
"5f72b02b-e94d-420d-a176-d56a470395f3","Smart_Copilot_API_Guide.md","document","API文档文档: Smart Copilot 能力平台 API 使用指南","Smart_Copilot_API_Guide.md|IDE_Extension_Development_Guide.md|Project_Documentation_Overview.md|Smart_Copilot_API_Redesign.md"
"c35c1063-ca5c-41aa-a522-5626b94408fc","Smart Copilot Platform","component","能力平台API","Smart_Copilot_API_Guide.md|Project_Documentation_Overview.md|Smart_Copilot_API_Redesign.md"
"f56665a9-8fda-4593-8ad8-fee1705fc488","/api/execute","api","REST API: /api/execute","Smart_Copilot_API_Guide.md|Smart_Copilot_API_Redesign.md"
"4d78952a-648b-49a5-8a56-7a94c06f86ef","/health","api","REST API: /health","Smart_Copilot_API_Guide.md|OpenCopilot_Custom_Agent_Guide.md|README.md|OpenCopilot_Local_Agent_Roadmap.md|OpenCopilot_Broker_Development_Guide.md"
"bb4cc373-e902-4031-99c2-82d4993805b3","/api/context/current","api","Context API: /api/context/current","Smart_Copilot_API_Guide.md|Smart_Copilot_API_Redesign.md"
"cf8704e5-77a7-4ef2-84db-089cc9ad6b17","/api/context/inject","api","Context API: /api/context/inject","Smart_Copilot_API_Guide.md|Smart_Copilot_API_Redesign.md"
"e595f73f-6e93-4845-b489-4a1e775c21d8","/api/context/history","api","Context API: /api/context/history","Smart_Copilot_API_Guide.md"
"206b8271-e371-4eb8-9199-906942b894dc","/api/execute/stream","api","REST API: /api/execute/stream","Smart_Copilot_API_Guide.md"
"f9ff865f-5665-44c7-a961-6c306500b789","/api/probe/status","api","REST API: /api/probe/status","Smart_Copilot_API_Guide.md|Smart_Copilot_API_Redesign.md"
"203fb769-1158-4d40-867f-ef987d46a530","/api/probe/clipboard","api","REST API: /api/probe/clipboard","Smart_Copilot_API_Guide.md|Smart_Copilot_API_Redesign.md"
"96be8a2e-8a21-4c17-9760-2aa51a9bf10b","/api/probe/selection","api","REST API: /api/probe/selection","Smart_Copilot_API_Guide.md|Smart_Copilot_API_Redesign.md"
"e0f99499-3a45-41b2-bd14-306fa0ab5b71","/api/probe/ide/context","api","REST API: /api/probe/ide/context","Smart_Copilot_API_Guide.md|Smart_Copilot_API_Redesign.md"
"78dce912-512a-48f3-bf0c-f46379b8da34","/api/probe/browser","api","REST API: /api/probe/browser","Smart_Copilot_API_Guide.md"
